time;daily_precp;cumsum_daily_precp
2018-04-16;0.0;0.0
2018-04-17;0.0;0.0
2018-04-18;0.0;0.0
2018-04-19;0.0;0.0
2018-04-20;0.0;0.0
2018-04-21;0.0;0.0
2018-04-22;5.3999999999999995;5.3999999999999995
2018-04-23;0.8166666666666668;6.216666666666666
2018-04-24;0.03333333333333333;6.249999999999999
2018-04-25;2.966666666666667;9.216666666666665
2018-04-26;7.033333333333334;16.25
2018-04-27;0.0;16.25
2018-04-28;0.06666666666666667;16.316666666666666
2018-04-29;0.8666666666666667;17.183333333333334
2018-04-30;0.45;17.633333333333333
2018-05-01;0.6833333333333332;18.316666666666666
2018-05-02;0.0;18.316666666666666
2018-05-03;0.0;18.316666666666666
2018-05-04;0.0;18.316666666666666
2018-05-05;0.0;18.316666666666666
2018-05-06;0.0;18.316666666666666
2018-05-07;0.0;18.316666666666666
2018-05-08;0.0;18.316666666666666
2018-05-09;0.0;18.316666666666666
2018-05-10;2.216666666666667;20.53333333333333
2018-05-11;0.0;20.53333333333333
2018-05-12;0.0;20.53333333333333
2018-05-13;21.133333333333333;41.666666666666664
2018-05-14;0.0;41.666666666666664
2018-05-15;0.7666666666666666;42.43333333333333
2018-05-16;6.483333333333333;48.916666666666664
2018-05-17;0.0;48.916666666666664
2018-05-18;0.0;48.916666666666664
2018-05-19;0.0;48.916666666666664
2018-05-20;0.0;48.916666666666664
2018-05-21;0.0;48.916666666666664
2018-05-22;7.7;56.61666666666667
2018-05-23;1.1333333333333333;57.75
2018-05-24;3.5833333333333335;61.333333333333336
2018-05-25;1.6000000000000003;62.93333333333334
2018-05-26;0.0;62.93333333333334
2018-05-27;8.433333333333335;71.36666666666667
2018-05-28;1.0833333333333333;72.45
2018-05-29;4.016666666666667;76.46666666666667
2018-05-30;0.05000000000000001;76.51666666666667
2018-05-31;4.750000000000001;81.26666666666667
2018-06-01;12.333333333333334;93.6
2018-06-02;3.3333333333333335;96.93333333333332
2018-06-03;0.0;96.93333333333332
2018-06-04;0.0;96.93333333333332
2018-06-05;0.0;96.93333333333332
2018-06-06;0.0;96.93333333333332
2018-06-07;1.8166666666666667;98.74999999999999
2018-06-08;6.800000000000001;105.54999999999998
2018-06-09;4.566666666666667;110.11666666666665
2018-06-10;8.049999999999999;118.16666666666664
2018-06-11;0.0;118.16666666666664
2018-06-12;0.5666666666666668;118.7333333333333
2018-06-13;0.06666666666666667;118.79999999999997
2018-06-14;2.3666666666666663;121.16666666666663
2018-06-15;0.15;121.31666666666663
2018-06-16;0.8333333333333334;122.14999999999996
2018-06-17;0.18333333333333335;122.3333333333333
2018-06-18;0.0;122.3333333333333
2018-06-19;0.03333333333333333;122.36666666666663
2018-06-20;0.0;122.36666666666663
2018-06-21;2.1166666666666667;124.48333333333329
2018-06-22;6.483333333333333;130.9666666666666
2018-06-23;0.11666666666666665;131.0833333333333
2018-06-24;0.3833333333333333;131.4666666666666
2018-06-25;0.9166666666666666;132.38333333333327
2018-06-26;0.03333333333333333;132.4166666666666
2018-06-27;0.0;132.4166666666666
2018-06-28;0.0;132.4166666666666
2018-06-29;0.0;132.4166666666666
2018-06-30;0.0;132.4166666666666
2018-07-01;0.0;132.4166666666666
2018-07-02;0.0;132.4166666666666
2018-07-03;0.0;132.4166666666666
2018-07-04;0.3333333333333333;132.74999999999994
2018-07-05;11.1;143.84999999999994
2018-07-06;0.0;143.84999999999994
2018-07-07;0.0;143.84999999999994
2018-07-08;0.0;143.84999999999994
2018-07-09;0.15;143.99999999999994
2018-07-10;12.183333333333335;156.18333333333328
2018-07-11;10.183333333333332;166.36666666666662
2018-07-12;0.85;167.2166666666666
2018-07-13;0.0;167.2166666666666
2018-07-14;0.016666666666666666;167.2333333333333
2018-07-15;0.0;167.2333333333333
2018-07-16;0.9;168.1333333333333
2018-07-17;0.9;169.0333333333333
2018-07-18;0.0;169.0333333333333
2018-07-19;0.0;169.0333333333333
2018-07-20;0.0;169.0333333333333
2018-07-21;0.016666666666666666;169.04999999999998
2018-07-22;1.8499999999999999;170.89999999999998
2018-07-23;0.0;170.89999999999998
2018-07-24;0.0;170.89999999999998
2018-07-25;1.5333333333333332;172.4333333333333
2018-07-26;0.0;172.4333333333333
2018-07-27;0.0;172.4333333333333
2018-07-28;0.6833333333333332;173.11666666666665
2018-07-29;0.0;173.11666666666665
2018-07-30;0.0;173.11666666666665
2018-07-31;0.0;173.11666666666665
2018-08-01;0.08333333333333333;173.2
2018-08-02;0.09999999999999999;173.29999999999998
2018-08-03;0.0;173.29999999999998
2018-08-04;0.0;173.29999999999998
2018-08-05;0.0;173.29999999999998
2018-08-06;0.0;173.29999999999998
2018-08-07;0.3;173.6
2018-08-08;6.266666666666668;179.86666666666667
2018-08-09;9.4;189.26666666666668
2018-08-10;0.46666666666666673;189.73333333333335
2018-08-11;0.8000000000000002;190.53333333333336
2018-08-12;0.0;190.53333333333336
2018-08-13;11.916666666666666;202.45000000000002
2018-08-14;1.25;203.70000000000002
2018-08-15;0.0;203.70000000000002
2018-08-16;0.0;203.70000000000002
